Who?	Sino?
You'll want for nothing while I am alive.	Wala ka nang hahanapin pa habang nabubuhay ako.
A stranger asked me the way to the school.	May mamang nagtanong sa akin ang papunta sa paaralan.
Although he may be clever, he is not wise.	Bagamat matalino man siya, di siya wais.
Are you willing to help me with that work?	OK lang ba sayo'ng tulungan ako sa trabahong iyon?
Brazil has almost 200 million inhabitants.	Halos 200 milyon na tao na sa Brazil.
Did you take the book back to the library?	Sinauli mo na ba ang aklat sa aklatan?
Don't forget to take an umbrella with you.	Huwag mo kalimutang magdala ng payong.
Don't you have anything smaller than this?	Wala ka bang mas maliit kaysa sa rito?
Even if it rains, the game will be played.	Kung umulan man, maglalaro.
He ended his life by jumping off a bridge.	Tinapos niya ang buhay niya nang tumalon sa tulay.
He has a bad reputation with his students.	Hindi maganda ang reputasyon niya sa mga estudyante niya.
He is a doctor and a university professor.	Doktor siya at propesor sa unibersidad.
He took me over to the island in his boat.	Dinala niya ako sa isla nang bangka niya.
He was constantly borrowing money from me.	Lagi na lang siyang humihiram ng pera sa akin.
I didn't know apple trees grow from seeds.	Hindi ko alam na galing pala sa binhi ang puno ng mansanas.
I do not for a moment think you are wrong.	Di ko isip sa isang saglit na mali ka.
I don't know when he got back from France.	Di ko alam kung kailan siya bumalik galing sa Pransiya.
I have already finished reading this book.	Tinapos ko nang basahin itong aklat.
I have only half as many books as he does.	Meron akong kalahating karaming librong meron siya.
I refuse to answer such a stupid question.	Hindi ko sasagutin ang ganyan katangang tanong.
I used to play tennis with him on Sundays.	Naglalaro kami ng tennis kapag Linggo noon.
I wish our classroom were air-conditioned.	Sana may aircon ang silid namin.
I wonder if you could get me another beer.	Ikuha mo kaya ako ng isa pang serbesa.
If he hadn't been tired, he would've gone.	Kung hindi siya pagod, aalis sana siya.
If you want me to help Tom, I'll help him.	Kung gusto mong tulungan ko si Tom, tutulungan ko siya.
It was said that that lady was an actress.	Sinasabi na artista ang babaeng iyon.
It's Sunday. He can't have gone to school.	Linggo ngayon. Hindi pwedeng nasa skwelahan sya.
It's been five years since I last saw you.	Limang taon na ang lumipas nang huli kitang makita.
It's been five years since I last saw you.	Limang taon na mula nung huli kitang makita.
It's not what you say, but how you say it.	Di sa kung anong sinasabi, kundi kung paano.
It's time you had a dose of your medicine.	Oras nang nabigyan ka ng dosis ng gamot mo.
Many flowers start blooming in springtime.	Nag-uumpisang mamulaklak sa tagsibol.
Mother bought two bottles of orange juice.	Bumili si nanay ng dalawang bote ng orange juice.
Mother divided the cake into eight pieces.	Piniraso ng nanay nang walo ang keyk.
My father is going to go abroad next week.	Mangingibang-bansa ang tatay ko sa susunod na linggo.
My grandfather gave me a birthday present.	Binigyan ako ng lolo ko ng regalo sa aking kaarawan.
None of the students were late for school.	Walang estudyanteng nahuli para sa eskuwela.
She asked about the location of the house.	Nagtanong siya tungkol sa kinaroroonan ng bahay.
She read an amusing story to the children.	Binabasa niya ang isang kuwentong nakakatuwa sa mga bata.
She was loved by everybody in the village.	Mahal siya ng lahat sa nayon.
Thai is the official language of Thailand.	Ang Thai ay wikang opisyal ng Thailand.
The airport was closed because of the fog.	Sarado ang erport dahil sa ulap na hamog.
The firemen rushed into the burning house.	Sumugod ang mga bumbero sa nasusunog na bahay.
The girl screamed when she saw the flames.	Sumigaw 'yung babae nang makakita siya ng apoy.
The magician had the children's attention.	Nakuha ng mago ang atensiyon ng mga bata.
The whole experiment was recorded on film.	Ang buong experimento ay naitala sa pelikula.
There were hundreds of cars on the street.	Daan-daan ang mga kotse sa kalye.
There's something wrong with this machine.	May diperensiya itong makina.
Tom and Mary failed to reach an agreement.	Hindi nagkasundo sina Tom at Mary.
Tom doesn't know what Mary is looking for.	Hindi alam ni Tomas kung anong hinahanap ni Maria.
Tom grabbed Mary to keep her from falling.	Hinila ni Tom si Mary para hindi ito malaglag.
Wood can be made into all sorts of things.	Maraming bagay ang pwedeng magawa mula sa kahoy.
You may go as long as you come home early.	Puwede kang pumunta, pero basta maaga kang umuwi.
A foreigner asked me where the station was.	Tinanong ako ng isang dayuhan kung nasaan ang estasyon.
After days of warm weather, it became cold.	Pagkatapos ng mainit na panahon, naging malamig.
All the members of the club agreed with me.	Lahat ng kasapi ng club ay sumang-ayon sa akin.
Astronomy deals with the stars and planets.	Tungkol sa mga bituwin at planeta ang astronomiya.
Could you please repeat what you just said?	Pakiulit nga ang kasasabi mo?
Every word in this dictionary is important.	Bawat salita sa diksiyunaryong ito'y importante.
He has the bad habit of chewing his pencil.	May masamang habit siyang ngumuya sa kanyang lapis.
He is tall, but his brother is much taller.	Matangkad siya, pero lalong mas matangkad ang kapatid niyang lalaki.
He knows Germany like the back of his hand.	Kabisado niya ang bansang Alemanya.
He lives in the neighborhood of the school.	Nakatira siya sa pook ng eskuwela.
He studied very hard to become a scientist.	Nag-aral siya nang mabuti para maging dalub-agham.
He studied very hard to become a scientist.	Para maging dalub-agham, nag-aral siya nang mabuti.
How much longer will the thunderstorm last?	Gaano pa katagal ang bagyo?
I am writing to express my dissatisfaction.	Sumusulat ako sa inyo para ipaalam na hindi ako nakontento.
I don't know how much those two bikes cost.	Hindi ko alam kung magkano yang dalawan bike na yan.
I eat lunch here two or three times a week.	Nanananghalian ako dito dalawa o tatlong beses sa isang linggo.
I ran out of money during my stay in India.	Naubusan ako ng pera noong nagtagal ako sa India.
I remember the day you were born very well.	Alaala ko talaga ang araw na pinanganak ka.
I spent the whole day cleaning up the room.	Buong araw ay naglinis ako ng kuwarto.
I was rereading the letters you sent to me.	Binasa ko muli ang mga sulat mong pinadala sa akin.
I would go to the movies if I had the time.	Pupunta ako sa sine kung may oras ako.
If I were you, I'd put the money in a bank.	Kung ako sa'yo, ilalagay ko ang pera sa banko.
Is the cat on the chair or under the chair?	Ang pusa ba'y nasa ibabaw ng silya o sa ilalim ng silya?
It is high time you started a new business.	Kailangan mo nang magsimula ng bagong negosyo.
It is not easy to learn a foreign language.	Di madaling pag-aralan ang isang banyagang wika.
It is not easy to learn a foreign language.	Di madaling pag-aralan ang isang dayuhang wika.
Mary said she was going to dance all night.	Sabi ni Maria na magsasayaw siya buong gabi.
My dream is to take a round-the-world trip.	Ang pangarap ko ay magbiyaheng palibot ng mundo.
My father is an architect, not an engineer.	Arkitekto ang tatay ko, hindi inhenyero.
She brought up her children to be truthful.	Pinalaki niya ang kanyang mga anak nang matapat.
She gave him her name and telephone number.	Binigay niya ang kanyang pangalan at numero sa telepono.
Such toys have a bad influence on children.	Ang ganyang uri ng laruan ay may masamang impluwensiya sa mga kabataan.
That's the tallest building I've ever seen.	Iyan ang pinakamataas na gusaling nakita ko.
The blue lines on the map designate rivers.	Dinedesigneyt ng mga linyang asul sa mapa ang mga ilog.
The peach tree is beautiful when in flower.	Pagka namumulaklak, maganda ang puno ng milokoton.
There is nothing like summer and ice cream.	Walang kagaya ng tag-init at ayskrim.
This clock is far more expensive than that.	Mas mahal ang orasan na ito kaysa doon.
This is exactly what I've been looking for.	Eksaktong ito ang hinahanap ko.
This is the first time I've ridden a horse.	Unang beses kong sakyan ang kabayo.
This is the first time I've swum in a lake.	Unang beses kong lumangoy sa lawa.
This movie is for adults, not for children.	Para sa matatanda itong pelikula, di para sa bata.
Tom asked you a question. Please answer it.	May tinanong sayo si Tom. Paki sagot.
Tom is fatter now than when I last saw him.	Mas mataba si Tom ngayon kaysa nung huli ko siyang nakita.
We sometimes lack patience with old people.	Kung minsan nawawalan tayo ng pasensiya para sa matatanda.
Who's your favorite science fiction writer?	Sino ang paborito mong manunulat ng siyensiyang piksiyon?
You shouldn't have come here to begin with.	Dapat hindi ka na nagparini sa simula, e.
"What did you say?" "I didn't say anything."	"Anong sinabi mo?" "Wala akong sinabi."
A beautiful lake lay just beyond the forest.	Isang magandang lawa'y nasa dako paroon ng gubat.
After the heavy rain, there was a big flood.	Pagkatapos ng malakas na ulan, bumahang maigi.
Do it your own way if you don't like my way.	Gawin mo sa iyong paraan kung ayaw mo ang akin.
Even if you stop me, I won't change my mind.	Kahit na pigilin mo ako, di ko iibahin ang isip ko.
Have you finished reading today's paper yet?	Natapos mo na bang basahin ang dyaryo ngayong araw?
Have you forgotten that you were young once?	Nakalimutan mo nang bata ka noon?
He is serious when he talks about his hobby.	Pagka pinag-uusapan niya ang hobby niya, palagi siyang parang seryoso.
He pressed his face against the shop window.	Dinagan niya ang kanyang mukha sa bintana ng tindahan.
He was a very good skier when he was little.	Magaling siyang mag-ski noong maliit pa siya.
His house is on the south side of the river.	Ang bahay niya'y nasa timugang tabi ng ilog.
His poetry does not translate into Japanese.	Hindi masalin ang tula niya sa Hapon.
How much time do you spend with your spouse?	Gaano katagal kayong nagkakasama ng asawa mo?
I am sorry that I have troubled you so much.	Sori na inabala kita talaga.
I am thinking of closing my savings account.	Iniisip kong ipasara na ang savings account ko.
I gave up smoking and I feel like a new man.	Pinigil ko na ang pananagarilyo at parang bagong tao na ako.
I must offer you an apology for coming late.	Pasensiya na at nahulí ako.
I was absent from school because I was sick.	Ako ay lumiban mula sa paaralan dahil ako ay nagkasakit.
I was wondering if you could give me a lift.	Pwede mo ba akong isakay?
I've been waiting for you since two o'clock.	Simula alas-dos hinihintay na kita.
It is difficult to walk 60 kilometers a day.	Mahirap maglakad ng 60 kilometro sa isang araw.
It seems that he is interested in astronomy.	Parang natutuwa siya sa astronomiya.
It was so cold yesterday that I stayed home.	Napakalamig kagabi kaya nanatili lang ako sa bahay.
My grandfather died in the Second World War.	Namatay ang aking lolo sa Ikalawang Digmaang Pandaigdig.
Nobody goes outside in this kind of weather.	Walang lumalabas sa gantong klaseng panahon.
Our plane was flying over the Pacific Ocean.	Lumipad ang aming eroplano sa itaas ng Karagatang Pasipiko.
The children chased after the circus parade.	Hinabol ng mga bata ang parada ng sirkus.
The village was isolated by the heavy storm.	Ang nayon ay binukod ng malakas na bagyo.
There were curtains hanging over the window.	May mga kurtinang nakabitin sa bintana.
There were three people waiting in front me.	Tatlong tao ang nakapila sa harap ko.
Tom accused Mary of lying through her teeth.	Inakusahan ni Tom si Mary ng pagsisinungaling.
Tom acted happy, but deep inside he was sad.	Umarteng masaya si Tomas, pero sa kalaliman niya, malungkot siya.
Tom and Mary took the boat out of the water.	Inalis nina Tom at Mary ang bangka sa tubig.
What are you doing at school this afternoon?	Anong gagawin mo sa eskuwela nitong tanghali?
What will actually happen is anyone's guess.	Kung anuman ang mangyayari ay hula ng sinuman.
Whatever he may say, I won't change my mind.	Kahit ano'ng sabihin niya, hindi magbabago ang isip ko.
You haven't washed your hands yet, have you?	Di ka pa naghugas ng kamay, di ba?
Zoology deals with the study of animal life.	Ang soolohiya ay tungkol sa pag-aaral ng buhay ng hayop.
America is the greatest country in the world.	Ang Amerika ang pinaka-magandang lugar sa buong mundo.
Are you interested in buying an encyclopedia?	Interesado ka bang bumili ng encyclopedia?
Back in those days, I loved to play checkers.	Noon, gustung-gusto kong maglaro ng checkers.
By what authority do you order me to do this?	Anong karapatan mong utusan akong gawin ito?
He gave witness to the truth of my statement.	Siya ang nagbigay ng patunay sa pahayag ko.
He was afraid about what was going to happen.	Natakot siya sa mangyayari.
He was the first to carry out the experiment.	Siya ang unang nag-eksperimento.
I don't think that she looks like her mother.	Sa tingin ko hindi niya kamukha ang nanay niya.
I usually do my shopping at this supermarket.	Kalimitang sa supermarket na ito ako namimili.
I wish I had not bought such a useless thing.	Sana ay hindi na lang ako bumili ng isang walang kuwentang bagay.
If it is fine tomorrow, we'll go on a picnic.	Kung maganda bukas, magpipiknik tayo.
If it rains tomorrow, I'll just stay at home.	Kung umulan bukas, nasa bahay na lamang ako.
If you see a mistake, then please correct it.	Kung makakita ka ng pagkakamali, pakitama ito.
It's about ten minutes to the station by bus.	Mga sampung minuto papunta sa istasyon gamit ang bus.
It's not my opinion, but just my translation.	Hindi ko opinyon, kundi translasyon ko lamang.
My brother takes good care of his belongings.	Inaalagaan ng kapatid ko ang lahat ng gamit nya.
She has a bad habit of chewing on her pencil.	May masamang habit siyang ngumuya sa kanyang lapis.
The boy has grown out of all his old clothes.	Nilakihan ng batang lalaki ang kanyang mga lumang suot.
The magazine you lent me is very interesting.	Nakakatuwa ang magasin na pinahiram mo sa akin.
The vast majority of children love ice cream.	Talagang ang karamihan ng bata'y gusto ang ayskrim.
This is the first time I've seen this animal.	Unang beses kong makita itong hayop.
Tom doesn't understand how to use a computer.	Di alam ni Tomas ang paggamit ng kompyuter.
Tomorrow night, I am going to Narita airport.	Bukas ng gabi, papunta ako sa paliparang Narita.
We must learn to live in harmony with nature.	Dapat matuto tayong tumira sa armonya sa kalikasan.
What was your mother doing when you got home?	Anong ginagawa ng nanay mo pagdating mo sa bahay?
As soon as he finished his work, he went home.	Nang matapos niya ang kanyang trabaho, agad siyang umuwi.
Can you give me another sentence to translate?	Pwede mo ba akong bigyan ng iba pang pangungusap na isasalin?
Could you tell me how to get to Osaka station?	Maaari mo bang sabihin sa akin kung paano pumunta sa istasyon ng Osaka?
He cloaks his wickedness under a smiling face.	Tinatago niya ang kasamaan niya sa likod ng mga ngiti.
He couldn't wait to try out his new surfboard.	Sabik na niyang subukan ang surpbord na bago niya.
He told us he had gone through many hardships.	Sinabi niya sa amin na naranasan niya ang maraming kahirapan.
He was drunk and forgot to shut the back door.	Lasing siya't nakalimutan sarhan ang pinto sa likod.
He was kind enough to take me to the bus stop.	Mabait naman siyang tinuro sa akin ang tigilan ng bus.
I bought a camera, but I lost it the next day.	Bumili ako ng camera, pero nawala ko sa sumunod na araw.
I don't believe the child came to Tokyo alone.	Di ako naniniwalang bata siyang nagsariling pumunta sa Tokyo.
I fall asleep in the class every now and then.	Nakakatulog ako sa klase paminsan-minsan.
I feed my cat every morning and every evening.	Pinapakain ko ang aking pusa sa araw at sa gabi.
I met her in the winter a number of years ago.	Natagpo ko siya sa taglamig nang ilang taon na.
I'll go to Hokkaido next month with my friend.	Sa susunod na buwan, papuntang Hokkaido akong kasama ang kaibigan ko.
I'm not wearing a diamond ring, but I'm happy.	Wala akong brilyanteng singsing, pero masaya pa rin ako.
If you mix blue and red, the result is purple.	Pagka ihalo mo ang asul at pula, ang resulta'y kulay ube.
If you take this medicine, you'll feel better.	Pagka uminom ka nitong gamot, mas gagaling ang paramdam mo.
It is interesting for me to read my old diary.	Nakakatuwa para sa akin ang magbasa ng aking lumang talaan sa araw-araw.
It is no use blaming him for the accident now.	Wala ng magagawa ang paninisi mo sa kanya sa aksidente.
It'll take not less than one hour to go there.	Di bawas nang isang oras ang pagpunta roon.
It's clear that he doesn't want to talk to me.	Klarong di niya gustong kausapin ako.
Nothing is more important in life than health.	Walang mas importante sa buhay kundi ang kalusugan.
The boy reached out for another piece of cake.	Umabot ang bata para isa pang pirasong keyk.
The children built a sand castle on the beach.	Gumawa ng kastilyong buhangin ang mga bata sa dalampasigan.
The first thing you have to do is take a bath.	Ang unang dapat mong gawin ay magligo.
The man admitted having broken into the house.	Inamin ng lalaki na pinasok niya ang bahay.
The population explosion is a serious problem.	Seryosong problema ang biglaang pagtaas ng populasyon.
The stars look dim because of the city lights.	Hindi maliwanag ang mga bituin dahil sa mga ilaw ng siyudad.
This lake is among the deepest in the country.	Itong lawa'y isa sa pinakalalim sa bansa.
Tom and his grandmother went to the bookstore.	Si Tomas at ang lola niya ay nagpuntang bukstor.
Tom could be in the kitchen, but I don't know.	Baka nasa kusina si Tom, pero ewan ko.
Tom could be in the kitchen, but I don't know.	Maaaring nasa kusina si Tom, pero hindi ko alam.
Tom definitely seems to be interested in Mary.	Mukhang interesado talaga si Tom kay Mary.
Tom's dog woke him up a little after midnight.	Nagising si Tom ng aso niya nang mga hatinggabi.
You'll soon get used to living in the country.	Masasanay ka agad nang pamumuhay sa bukid.
About one third of the earth's surface is land.	Mga katlo ng ibabaw ng Tiyera'y lupa.
Generally speaking, women live longer than men.	Karaniwang mas mahaba ang buhay ng mga babae kaysa sa mga lalaki.
He concentrated his attention on what she said.	Pinakinggan niyang mabuti ang sinabi nito.
He should have the right to decide for himself.	May karapatan siyang mag-desisyon para sa sarili niya.
He told me that he would visit Nara next month.	Sabi niya sa akin na baka papuntang Nara siya sa susunod na buwan.
He will commit suicide if he can't see his son.	Magpapakamatay siya kapag hindi niya nakita ang anak niya.
Her voice could hardly be heard over the noise.	Halos hindi marinig ang boses niya sa ingay.
Historically, the Persian Gulf belongs to Iran.	Ayon sa kasaysayan, ang Persian Gulf ay pagmamay-ari ng Iran.
I am not used to drinking coffee without sugar.	Di ako sanay magkape nang walang asukal.
I have kept a diary in English these ten years.	Nagtago ako ng talaarawan sa Ingles nitong sampung taon.
I postponed my date because I had to work late.	Kinailangan kong magtrabaho hanggang gabi kaya ipinagpaliban ko ang aking date.
I'm sorry, but I don't understand English well.	Sori po, pero hindi ko masyadong maintindihan ang Ingles.
I've been living in San Salvador for six years.	Nakatira ako sa San Salvador nang anim na taon na.
Is there anything you want that you don't have?	May gusto ka ba ng wala ka?
It is human nature to be bugged by such things.	Kalikasang tao ang maabala ng mga ganoong bagay.
It's very rude of you to say a thing like that.	Napakabastos naman ng sinabi mo.
Our teacher said, "Water boils at 100 degrees."	Sabi ng guro namin, "Ang tubig ay kumukulo sa 100 antas ng sentigrado."
Please give us your answer as soon as possible.	Pakibigay po sa amin ang inyong sagot sa pinakabilis na posible.
She was very surprised when she heard the news.	Nagitla siya nang narinig niya ang balita.
Some people gain weight when they quit smoking.	May ibang mga tao na tumataba kapag tinigilan ang paninigarilyo.
Someone must have taken my umbrella by mistake.	Baka may nagkamaling kumuha ng payong ko.
The cafeteria's primary problem is its quality.	Ang pangunang problema sa kapetirya ay ang kalidad.
The children would play for hours on the beach.	Ilang oras nang maglalaro ang mga bata sa dalampasigan.
The newspaper says that the typhoon hit Kyushu.	Sabi ng pahayagan, tinamaan daw ng bagyo ang Kyushu.
There are times when we have to hide the truth.	May mga pagkakataon na kailangan nating itago ang katotohanan.
Tom currently lives alone in a small apartment.	Sa ngayon, mag-isang nakatira si Tom sa isang maliit na apartment.
When I entered his room, he was reading a book.	Noong pumasok ako sa kuwarto niya, nagbabasa siya ng libro.
While in London, he visited the British Museum.	Pinuntahan niya ang British Museum noong siya ay nasa London.
You had better give up smoking for your health.	Dapat itigil mo na ang paninigarilyo para sa kalusugan mo.
A big tree in the field was struck by lightning.	Kinidlatan ang malaking puno sa bukid.
Everyone was really impressed with that machine.	Na-impres ang lahat sa makinang iyon.
He said he was tired, so he would go home early.	Sabi niya pagod daw siya kaya uuwi siya nang maaga.
I asked him not to go, but he left all the same.	Pinakiusapan ko na siyang huwag umalis, pero umalis pa rin siya.
I cannot thank you enough for all your kindness.	Lubos ang pasasalamat ko sa iyo para sa lahat ng kabutihan mo.
I hope this will not inconvenience you too much.	Sana hindi ka masyadong maabala.
I passed the city hall on my way to the station.	Dumaan ako sa munisipyo ng bayan papunta sa estasyon.
I think this medicine will do you a lot of good.	Sa tingin ko, makabubuti sa iyo ang gamot na ito.
I was just about to go to bed when he phoned me.	Mahihiga na sana ako nang tumawag siya.
It's high time you got married and settled down.	Oras na para lumagay ka sa tahimik.
Science has not solved all the problems of life.	Hindi malutas ng agham ang lahat ng problema sa buhay.
She was able to cross the Pacific Ocean by boat.	Natawid niya ang Karagatang Pasipiko nang bangka.
There are many interesting animals in Australia.	Maraming kaakit-akit na hayop sa Australia.
There's a white building just around the corner.	May puting gusali sa palibot ng kanto.
Tom eats at least three bowls of rice every day.	Kumakain ng hindi bababa sa tatlong mangkok ng kanin si Tom araw-araw.
Tom returned the shirt because it was too small.	Binalik ni Tom ang damit kasi masiyado itong maliit.
Tom thinks that he's the center of the universe.	Akala ni Tom na siya'y kalagitnaan ng uniberso.
Valencia is famous for its unusual architecture.	Sikat ang Valencia sa arkitektura.
Water, taken in moderation, cannot hurt anybody.	Hindi makákasama ang pag-inom ng tubig, basta huwag sobra.
What you do is more important than what you say.	Ang ginagawa mo'y mas importante kaysa sa sinasabi mo.
Who will take care of the dog while we are away?	Sinong mag-aalaga sa aso habang wala tayo?
Why does the US government let people have guns?	Bakit hinahayaan ng gobyerno ng US na magkaroon ng baril ang mga tao?
Father wants me to study abroad while I am young.	Gusto ni Tatay na mag-aral ako sa ibang bansa habang bata pa ako.
He was out of breath because he had been running.	Hinihingal siya dahil tumatakbo siya kanina.
He will kill himself if he doesn't see his child.	Magpapakamatay siya kapag hindi niya nakita ang anak niya.
How much longer will it take for the tub to fill?	Gaano pa katagal bago mapuno ang tub?
Hurry up, or you will be late for the last train.	Magmadali ka, o maleleyt ka sa huling tren.
I'm not willing to cook dinner for twenty people.	Ayaw kong magluto ng hapunan para sa dalawampung tao.
It is not clear what the writer is trying to say.	Hindi malinaw ang nais sabihin ng manunulat.
It's a pity that I don't understand English well.	Sayang na di ko masyadong maintindihan ang Ingles.
My first day in the university was rather boring.	Medyo mainip ang unang araw ko sa unibersidad.
On New Year's Eve, the trains will run all night.	Sa bagong taon, buong gabi aandar ang mga tren.
Quite a few people came to the meeting yesterday.	Kakaunting tao lang ang dumalo sa meeting kahapon.
Several boys had to leave school early yesterday.	Maraming kabataang lalaki ang kinailangang umuwi nang maaga mula sa paaralan kahapon.
She had no other choice but to marry the old man.	Wala siyang mapilian kundi ikasal ang matandang lalaki.
She is from Hokkaido, but is now living in Tokyo.	Taga-Hokkaido siya, pero tumitira siya ngayon sa Tokyo.
The chances are very good that our team will win.	Malaki ang pag-asang manalo ang pangkat natin.
The train was delayed on account of a heavy snow.	Naantala ang tren dahil sa mabigat na niyebe.
There is a time to speak and a time to be silent.	May oras na magsalita at oras na tumahimik.
There's no need to hurry. We have plenty of time.	Hindi kailangang magmadali. Marami tayong panahon.
There's no need to panic. There's plenty of time.	Di kailangang magpanik. Marami pang oras.
This committee includes scientists and engineers.	May kasamang mga dalub-agham at inhenyero itong komiti.
Tom didn't think that anyone would recognize him.	Hindi inakala ni Tom na may makakakilala sa kaniya.
Tom had meat loaf and mashed potatoes for dinner.	Meat loaf at mashed potatoes ang hapunan ni Tom.
Tom is the president of the local astronomy club.	Presidente si Tomas ng klubo ng astronomiya sa pook.
Tom was arrested as a suspect in a criminal case.	Hinuli si Tom bilang isang suspek sa krimen.
We looked at the sky, but couldn't see any stars.	Tinignan namin ang langit ngunit walang mga bituin.
We should make it if the traffic isn't too heavy.	Matutuloy tayo kung ang trapik ay di mabigat.
Whatever happens, you're never going to find out.	Anuman ang mangyari, hindi mo malalaman.
When was the last time you listened to this song?	Kailan ang pinakahuli mong pakinig sa kantang ito?
Do you think I can use my cellphone in the shower?	Isip mo bang puwede kong gamitin ang selular ko sa dutsa?
From now on, you'll have to take care of yourself.	Simula ngayon, dapat ingatan mo ang sarili mo.
He deliberately kept on provoking a confrontation.	Sinasadya niyang gumawa ng gulo.
He had difficulty in finding his way to the hotel.	Nahirapan siyang hanapin ang daan papuntang hotel.
He is very secretive in regard to his family life.	Masikreto siya tungkol sa kanyang pamilya.
How long does it take to get to the train station?	Gaano katagal bago makarating sa istasyon ng tren?
I don't need your money. What I need is your time.	Di ko kailangan ang pera mo. Kailangan ko ang oras mo.
I have not had anything to eat since this morning.	Wala pa akong nakakain simula nitong umaga.
I would've gone to the movies if I'd had the time.	Kung may oras lang ako, pupunta sana ako sa sinehan.
I'll try not to disturb you while you're studying.	Susubukan kong huwag kang abalahin habang nag-aaral ka.
It has been three years since I came to live here.	Tatlong taon nang nakatira ako rito.
My sister married a high school teacher last June.	Nagpakasal ang kapatid kong babae sa isang guro ng mataas na paaralan noong Hunyo.
She knows ten times as many English words as I do.	Sampung beses na mas maraming salitang Ingles ang alam niya kaysa sa akin.
The cottage looked as if nobody were living in it.	Parang walang taong nakatira sa kasita.
The teacher warned us that the test would be hard.	Pinagbalaan kami ng titser na ang test ay magiging mahirap.
Tom doesn't understand what Mary is trying to say.	Hindi naiintindihan ni Tom kung anong gustong sabihin ni Mary.
You have nothing whatever to be embarrassed about.	Wala kang kailangang ikahiya.
He wrote a book about his adventures in the jungle.	Sinulat niya ang librong tungkol sa kanyang mga abentura sa gubat.
I find it much easier to speak French than English.	Mas madali sa akin ang magpranses kaysa sa mag-ingles.
I had to push my bicycle because I had a flat tire.	Tinulak ko ang bisikleta ko dahil flat ang gulong.
I think he should stay away from drugs of any sort.	Isip ko'y dapat lumayo siya sa mga anumang droga-droga.
If you can't have children, you could always adopt.	Kung hindi ka maaaring magkaroon ng mga anak, maari ka namang mag-ampon.
It's hard to believe that Tom could murder someone.	Hindi kapani-paniwalang kayang pumatay ni Tom.
Late in March 1841, his cold turned into pneumonia.	Sa bandang dulo ng Marso 1841, naging pulmonya ang sipon niya.
She lives in a valley in a town far from the beach.	Nakatira siya sa lambak sa lalawigang malayo sa dalampasigan.
The day will soon come when man can travel to Mars.	Darating ang araw na makakapunta ang tao sa Mars.
The most important thing in life is to be yourself.	Ang pinakaimportante sa buhay ay maging basta sarili.
This is a good dictionary for high school students.	Ito'y magaling na diksiyunaryo para sa estudyante sa hayskul.
Tom admitted that he was no match for Mary in golf.	Inamin ni Tom na mas magaling si Mary sa kanya sa golf.
We went to see the cherry blossoms along the river.	Nagpunta kami sa tabi ng ilog para makita ang bulaklak ng seresa.
What's the difference between a village and a town?	Anong kaibahan ng nayon at bayan?
You need to find another way out of this situation.	Kailangan mong maghanap ng ibang paraan para makaalis ka sa sitwasyong ito.
Afterwards, we went to Bethlehem to see the statues.	Pagkatapos ay pumunta kami sa Bethlehem para makita ang mga rebulto.
Do you think something like that will repeat itself?	Isip mo bang uulit ang parang ganoon?
Have you ever heard that music played on the guitar?	Narinig mo na ba ang musikang iyan sa gitara?
How much longer will I have to stay in the hospital?	Gaano katagal pa ako dito sa ospital?
I am in the habit of taking a shower in the morning.	Malimit na nagdudutsa ako tuwing umaga.
I would like to give him a present for his birthday.	Gusto ko syang bigyan ng regalo sa kanyang kaarawan.
If you would like some help, why don't you call Tom?	Kung kailangan mo ng tulong, bakit hindi mo tawagin si Tom?
It is important for you to learn a foreign language.	Importante para sa iyo ang mag-aral ng dayuhang wika.
It is impossible for me to finish the work in a day.	Imposibleng matapos ko yung trabaho sa loob ng isang araw.
Large amounts of money were spent on the new bridge.	Malaki ang ginastos sa bagong tulay.
Many children stay after school for club activities.	Maraming bata ang nananatili sa paaralan kahit tapos na ang klase para sa club activities.
Please come and see us sometime during the vacation.	Bumisita ka nga kaya sa amin kung minsan sa bakasyon.
The earth rotates on its axis and it orbits the sun.	Umiikot ang Tiyera sa kanyang aksis at inoorbit niya ang Araw.
The new engine must undergo all the necessary tests.	Dapat maidaan ang makina sa lahat ng mga test.
This is where they usually have their evening meals.	Dito sila karaniwang naghahapunan.
We adjourned the meeting until the following Friday.	Ipinagpaliban namin ang pulong hanggang sa susunod na Biyernes.
What is the good of having a car if you don't drive?	Anong kasaysayan ang may kotse kung di ka nagmamaneho?
Would you like a window seat or a seat on the aisle?	Gusto mo ba ng upuang malapit sa bintana o malapit sa pasilyo?
Did you know you are stronger than you think you are?	Alam mo ba na mas malakas ka sa akala mo?
Generally speaking, the Japanese people are diligent.	Kadalasan, ang mga Hapones ay masigasig.
He cannot speak French without making a few mistakes.	Di siya makasalita ng Pranses nang walang konting mali.
I've got a feeling that something is about to happen.	May pakiramdam ako na mayroong mangyayari.
I've got a feeling that something is about to happen.	Mayroon akong pakiramdam na may mangyayari.
If I had wings to fly, I would have gone to save her.	Kung may pakpak lamang ako, maililigtas ko sana siya.
It's difficult to get the car going on cold mornings.	Mahirap simulang patakbuhin ang makina sa malalamig na umaga.
Tom said that he had been cleaning the house all day.	Sabi raw ni Tomas na naglilinis siya ng bahay nang buong araw.
We tried to make out the letters written on the wall.	Sinubukan naming maunawaan ang mga letra sa dingding.
We tried to make out the letters written on the wall.	Sinubukan naming maunawaan ang mga letra sa pader.
